                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.83943,                0.50311,                0.96907,                0.92014,                 0.7946,                0.85898,                0.59621,                0.96508,                 0.5253,                0.98633,              0.0010338,              0.0010338,              0.0010338
                     63,                0.76034,                0.45201,                0.92349,                0.90563,                0.75862,                0.85636,                0.57055,                0.99979,                0.53295,                 1.0204,              0.0010179,              0.0010179,              0.0010179
                     64,                 0.7899,                0.46426,                0.91531,                0.90154,                0.81034,                0.85972,                0.58885,                0.99412,                0.50357,                 1.0865,              0.0010021,              0.0010021,              0.0010021
                     65,                0.83386,                0.49736,                0.92258,                0.88522,                0.75862,                0.83475,                0.60447,                0.93195,                0.53619,                0.98345,             0.00098624,             0.00098624,             0.00098624
                     66,                0.75692,                0.46214,                0.91943,                 0.9562,                0.75285,                0.84251,                0.60219,                0.98294,                0.54814,                 1.0083,              0.0009704,              0.0009704,              0.0009704
                     67,                0.75857,                0.46889,                0.91878,                      1,                0.75734,                0.86839,                0.61416,                0.94554,                 0.5083,                 1.0147,             0.00095456,             0.00095456,             0.00095456
                     68,                0.72457,                0.43473,                0.90033,                0.90892,                0.81034,                0.85488,                0.60146,                 1.0029,                0.53066,                  1.022,             0.00093872,             0.00093872,             0.00093872
                     69,                0.73856,                0.46194,                0.91916,                 0.8845,                0.79219,                0.85795,                0.60597,                 1.0328,                0.54246,                 1.0639,             0.00092288,             0.00092288,             0.00092288
                     70,                0.76774,                0.46279,                0.92642,                0.79813,                0.84483,                0.85695,                0.61172,                0.97731,                0.48505,                 1.0271,             0.00090704,             0.00090704,             0.00090704
                     71,                0.71826,                0.43418,                0.91431,                 0.8817,                 0.7931,                0.87391,                0.61117,                0.94603,                0.48123,                 1.0465,              0.0008912,              0.0008912,              0.0008912
                     72,                 0.7406,                0.44654,                0.91202,                0.85565,                0.81771,                0.86236,                0.60163,                0.97315,                0.49485,                 1.0654,             0.00087536,             0.00087536,             0.00087536
                     73,                0.75287,                0.44752,                0.91399,                0.87168,                0.81995,                0.85823,                0.58883,                 1.0478,                0.52368,                 1.0766,             0.00085952,             0.00085952,             0.00085952
                     74,                0.72011,                0.43845,                0.90716,                0.97888,                0.79903,                0.87197,                0.60142,                 1.0326,                0.50103,                 1.0609,             0.00084368,             0.00084368,             0.00084368
                     75,                0.74917,                0.45012,                0.91178,                0.98766,                0.81034,                0.88112,                0.62421,                 0.9941,                0.47408,                 1.0091,             0.00082784,             0.00082784,             0.00082784
                     76,                0.71549,                0.43079,                 0.9121,                0.97914,                0.80939,                0.87328,                0.61455,                 1.0024,                0.47326,                 1.0294,               0.000812,               0.000812,               0.000812
                     77,                0.69873,                0.42589,                0.91048,                0.93854,                0.78988,                0.86384,                0.62096,                0.95128,                 0.4851,                 1.0366,             0.00079616,             0.00079616,             0.00079616
                     78,                0.70588,                0.41923,                0.90578,                0.92582,                 0.7931,                 0.8543,                0.59099,                 1.0455,                0.49291,                 1.0708,             0.00078032,             0.00078032,             0.00078032
                     79,                0.71697,                0.44164,                0.90779,                 0.9215,                0.80963,                0.86027,                0.58337,                 1.0277,                0.51396,                  1.063,             0.00076448,             0.00076448,             0.00076448
                     80,                0.71097,                0.42138,                0.90222,                0.99056,                0.77586,                0.85962,                0.60899,                0.99803,                0.50354,                 1.0655,             0.00074864,             0.00074864,             0.00074864
                     81,                0.71966,                0.42694,                0.89474,                0.88975,                0.75862,                0.83482,                0.59686,                0.95878,                0.47747,                 1.0412,              0.0007328,              0.0007328,              0.0007328
                     82,                0.69348,                0.39464,                0.87563,                0.99679,                0.72414,                0.84586,                0.61143,                0.96452,                0.45121,                 1.0645,             0.00071696,             0.00071696,             0.00071696
